Name,Length,Voltage,Current,Power
21_37_32_312678_temperature_from_pressure,0:00:00.994775,5.120,260.509,1331.428
21_37_34_317011_temperature_from_humidity,0:00:00.993532,5.120,261.214,1337.217
21_37_36_309081_pressure,0:00:00.994701,5.120,260.118,1333.742
21_37_38_320674_humidity,0:00:00.996662,5.119,259.842,1329.864
21_37_40_331507_temperature_from_pressure,0:00:00.997292,5.120,260.350,1331.712
21_37_42_335931_temperature_from_humidity,0:00:00.994874,5.120,260.075,1333.058
21_37_44_336017_pressure,0:00:00.993767,5.121,260.029,1330.638
21_37_46_340394_humidity,0:00:00.992897,5.120,260.396,1332.561
21_37_48_349769_temperature_from_pressure,0:00:00.994418,5.120,259.972,1333.463
21_37_50_354660_temperature_from_humidity,0:00:00.996446,5.120,259.973,1330.825
21_37_52_354492_pressure,0:00:00.993962,5.121,260.069,1330.775
21_37_54_359653_humidity,0:00:00.994329,5.120,259.890,1332.121
21_37_58_173216_save_record_sqlite3,0:00:02.365072,5.113,289.131,1481.753
21_38_00_104152_query_record_sqlite3,0:00:00.993711,5.120,260.115,1333.087
21_38_02_178335_save_record_sqlite3,0:00:01.059627,5.119,262.380,1342.857
21_38_04_179458_query_record_sqlite3,0:00:00.995870,5.120,260.245,1332.152
21_38_06_220004_save_record_sqlite3,0:00:01.041836,5.120,261.868,1339.265
21_38_08_228558_query_record_sqlite3,0:00:00.996338,5.120,260.621,1331.165
21_38_10_279911_save_record_sqlite3,0:00:01.033664,5.119,261.330,1338.744
21_38_12_283126_query_record_sqlite3,0:00:00.993121,5.120,260.094,1332.238
21_38_14_348967_save_record_sqlite3,0:00:01.047891,5.120,261.905,1341.518
21_38_16_349339_query_record_sqlite3,0:00:00.993557,5.120,259.718,1333.482
21_38_18_396972_save_record_sqlite3,0:00:01.034327,5.120,261.889,1342.872
21_38_20_398807_query_record_sqlite3,0:00:00.999180,5.120,260.274,1332.238
21_38_22_433696_save_record_sqlite3,0:00:01.032652,5.120,261.917,1336.516
21_38_24_444141_query_record_sqlite3,0:00:00.997921,5.120,260.027,1333.407
21_38_26_496118_save_record_sqlite3,0:00:01.033714,5.120,261.767,1337.207
21_38_28_499107_query_record_sqlite3,0:00:00.993479,5.117,271.839,1396.349
21_38_30_547745_save_record_sqlite3,0:00:01.033325,5.119,261.488,1343.286
21_38_32_551607_query_record_sqlite3,0:00:00.995615,5.120,259.969,1331.566
21_38_34_601689_save_record_sqlite3,0:00:01.037347,5.119,261.839,1339.203
21_38_36_603902_query_record_sqlite3,0:00:00.994928,5.120,259.661,1331.463
21_38_42_271558_http_post,0:00:02.326107,5.117,272.458,1390.639
21_38_44_341608_http_get,0:00:01.130398,5.119,262.758,1344.252
21_38_46_374162_http_post,0:00:01.032224,5.119,261.531,1344.432
21_38_48_411821_http_get,0:00:01.029319,5.120,261.404,1340.277
21_38_50_451051_http_post,0:00:01.028481,5.119,262.483,1341.392
21_38_52_491074_http_get,0:00:01.032940,5.120,262.001,1342.598
21_38_54_538090_http_post,0:00:01.038075,5.120,261.847,1341.750
21_38_56_568046_http_get,0:00:01.028260,5.120,261.492,1338.301
21_38_58_613894_http_post,0:00:01.027503,5.120,262.438,1344.446
21_39_00_653053_http_get,0:00:01.027991,5.120,261.697,1337.291
21_39_02_694388_http_post,0:00:01.032744,5.120,261.639,1342.159
21_39_04_726614_http_get,0:00:01.030856,5.120,262.291,1340.671
21_39_06_779718_http_post,0:00:01.037750,5.120,261.312,1339.676
21_39_08_822965_http_get,0:00:01.036519,5.120,261.702,1339.498
21_39_10_865786_http_post,0:00:01.042024,5.120,261.587,1340.160
21_39_12_918718_http_get,0:00:01.037143,5.120,261.158,1338.415
21_39_14_967611_http_post,0:00:01.036091,5.120,261.863,1340.780
21_39_17_008184_http_get,0:00:01.040125,5.120,261.863,1343.758
21_39_19_056950_http_post,0:00:01.032915,5.120,262.372,1337.929
21_39_21_095651_http_get,0:00:01.030082,5.119,261.650,1338.708
21_39_28_280213_LED_show_message,0:00:05.015134,5.117,273.676,1390.095
21_39_33_279827_LED_show_letter,0:00:04.001573,5.118,269.600,1382.112
21_39_38_308670_LED_set_pixels_0,0:00:04.003947,5.120,260.178,1332.351
21_39_43_272907_LED_set_pixels_1,0:00:04.005310,5.120,260.425,1335.555
21_39_48_292341_LED_set_pixels_2,0:00:04.000645,5.120,262.502,1344.151
21_39_53_316288_LED_set_pixels_3,0:00:03.999841,5.119,265.300,1359.854
21_39_58_338471_LED_set_pixels_4,0:00:03.999828,5.117,271.542,1391.815
21_40_03_363408_LED_set_pixels_5,0:00:04.002927,5.116,275.737,1413.829
21_40_08_330629_LED_set_pixels_6,0:00:04.004779,5.114,284.283,1450.031
21_40_13_355975_LED_set_pixels_7,0:00:04.003441,5.112,293.981,1501.886
21_40_18_383417_LED_set_pixels_8,0:00:03.998441,5.109,304.262,1557.189
21_40_24_448894_LED_show_message,0:00:05.014931,5.118,268.454,1378.841
21_40_29_436447_LED_show_letter,0:00:03.998796,5.117,272.652,1405.282
21_40_34_464422_LED_set_pixels_0,0:00:03.999488,5.120,260.412,1332.599
21_40_39_433111_LED_set_pixels_1,0:00:04.003342,5.120,260.688,1333.288
21_40_44_461995_LED_set_pixels_2,0:00:04.003558,5.119,262.917,1342.063
21_40_49_474514_LED_set_pixels_3,0:00:04.002516,5.118,266.271,1360.019
21_40_54_498344_LED_set_pixels_4,0:00:03.998971,5.118,268.363,1381.616
21_40_59_461717_LED_set_pixels_5,0:00:03.998586,5.116,276.294,1418.823
21_41_04_487737_LED_set_pixels_6,0:00:04.002333,5.114,285.098,1453.782
21_41_09_509196_LED_set_pixels_7,0:00:04.001596,5.112,294.769,1503.707
21_41_14_534656_LED_set_pixels_8,0:00:04.001609,5.109,305.067,1552.571
21_41_20_602706_LED_show_message,0:00:05.017262,5.118,268.560,1369.532
21_41_25_600159_LED_show_letter,0:00:04.000605,5.117,269.925,1387.389
21_41_30_558281_LED_set_pixels_0,0:00:04.000666,5.119,263.996,1347.615
21_41_35_583346_LED_set_pixels_1,0:00:04.004852,5.120,260.868,1332.478
21_41_40_608699_LED_set_pixels_2,0:00:04.000730,5.119,262.558,1341.293
21_41_45_632875_LED_set_pixels_3,0:00:03.998341,5.119,266.403,1357.986
21_41_50_652842_LED_set_pixels_4,0:00:04.003876,5.118,271.174,1381.860
21_41_55_617812_LED_set_pixels_5,0:00:04.001581,5.116,276.546,1416.400
21_42_00_643644_LED_set_pixels_6,0:00:04.004249,5.114,285.376,1450.569
21_42_05_664747_LED_set_pixels_7,0:00:04.003999,5.112,294.937,1504.187
21_42_10_688040_LED_set_pixels_8,0:00:04.004196,5.109,304.148,1556.545
21_42_16_756273_LED_show_message,0:00:05.018132,5.118,268.124,1373.074
21_42_21_752832_LED_show_letter,0:00:04.007291,5.117,269.827,1385.757
21_42_26_719997_LED_set_pixels_0,0:00:04.006473,5.120,260.128,1332.040
21_42_31_735740_LED_set_pixels_1,0:00:03.998107,5.119,262.370,1346.124
21_42_36_760691_LED_set_pixels_2,0:00:04.003414,5.119,262.859,1344.576
21_42_41_785343_LED_set_pixels_3,0:00:04.003068,5.119,265.445,1359.132
21_42_46_808493_LED_set_pixels_4,0:00:04.000254,5.117,272.093,1398.567
21_42_51_775163_LED_set_pixels_5,0:00:03.999312,5.116,277.649,1419.503
21_42_56_800038_LED_set_pixels_6,0:00:03.999153,5.114,285.470,1454.114
21_43_01_825159_LED_set_pixels_7,0:00:03.999396,5.112,294.040,1507.597
21_43_06_849455_LED_set_pixels_8,0:00:03.999163,5.109,304.428,1554.738
21_43_12_904692_LED_show_message,0:00:05.020963,5.118,267.642,1374.012
21_43_17_902858_LED_show_letter,0:00:04.009405,5.116,271.068,1385.705
21_43_22_868807_LED_set_pixels_0,0:00:03.999994,5.120,259.857,1331.469
21_43_27_891352_LED_set_pixels_1,0:00:04.001353,5.119,262.579,1337.613
21_43_32_915264_LED_set_pixels_2,0:00:04.003503,5.119,262.379,1342.702
21_43_37_939556_LED_set_pixels_3,0:00:03.999235,5.118,266.676,1362.929
21_43_42_962302_LED_set_pixels_4,0:00:03.998501,5.117,271.538,1382.573
21_43_47_926165_LED_set_pixels_5,0:00:03.999725,5.116,275.207,1419.858
21_43_52_950098_LED_set_pixels_6,0:00:04.000479,5.114,284.557,1449.840
21_43_57_972544_LED_set_pixels_7,0:00:04,5.111,292.693,1502.254
21_44_02_999221_LED_set_pixels_8,0:00:04.000663,5.109,304.358,1556.672
21_44_09_065209_LED_show_message,0:00:05.017468,5.118,267.116,1374.598
21_44_14_056361_LED_show_letter,0:00:04.002970,5.118,270.158,1377.586
21_44_19_022581_LED_set_pixels_0,0:00:03.999715,5.120,260.199,1331.675
21_44_24_046370_LED_set_pixels_1,0:00:03.998808,5.120,260.817,1339.580
21_44_29_075825_LED_set_pixels_2,0:00:04.003791,5.118,263.868,1363.387
21_44_34_092791_LED_set_pixels_3,0:00:04.000516,5.119,264.948,1356.235
21_44_39_117286_LED_set_pixels_4,0:00:04.001102,5.117,270.711,1381.717
21_44_44_083323_LED_set_pixels_5,0:00:04.000949,5.116,276.396,1417.189
21_44_49_108193_LED_set_pixels_6,0:00:03.999723,5.114,285.159,1451.230
21_44_54_127870_LED_set_pixels_7,0:00:04.000729,5.112,294.548,1500.858
21_44_59_152853_LED_set_pixels_8,0:00:04.000446,5.109,305.987,1556.305
21_45_05_221283_LED_show_message,0:00:05.018507,5.118,268.506,1377.305
21_45_10_160050_LED_show_letter,0:00:04.002670,5.117,271.059,1381.671
21_45_15_187528_LED_set_pixels_0,0:00:04.004212,5.120,260.082,1331.848
21_45_20_218800_LED_set_pixels_1,0:00:03.997420,5.120,260.590,1333.856
21_45_25_226731_LED_set_pixels_2,0:00:04.002768,5.119,262.163,1343.055
21_45_30_249516_LED_set_pixels_3,0:00:04.005008,5.118,268.457,1377.554
21_45_35_215351_LED_set_pixels_4,0:00:03.996947,5.117,269.300,1381.751
21_45_40_237681_LED_set_pixels_5,0:00:03.998791,5.115,275.921,1417.280
21_45_45_262951_LED_set_pixels_6,0:00:04.002985,5.114,284.733,1458.030
21_45_50_290698_LED_set_pixels_7,0:00:04.000294,5.111,294.554,1502.809
21_45_55_308113_LED_set_pixels_8,0:00:04.002482,5.109,303.921,1551.943
21_46_01_286056_LED_show_message,0:00:05.017041,5.117,266.319,1372.956
21_46_06_309777_LED_show_letter,0:00:04.004818,5.117,269.362,1380.981
21_46_11_339014_LED_set_pixels_0,0:00:04.006047,5.119,260.065,1332.592
21_46_16_361767_LED_set_pixels_1,0:00:03.997441,5.120,260.833,1333.818
21_46_21_380039_LED_set_pixels_2,0:00:04.002785,5.119,262.261,1345.873
21_46_26_404833_LED_set_pixels_3,0:00:03.997343,5.119,266.623,1360.538
21_46_31_370614_LED_set_pixels_4,0:00:03.996909,5.116,273.505,1396.588
21_46_36_397880_LED_set_pixels_5,0:00:04.004111,5.116,277.025,1419.001
21_46_41_414671_LED_set_pixels_6,0:00:03.998527,5.114,284.962,1452.526
21_46_46_441993_LED_set_pixels_7,0:00:04.006351,5.112,293.719,1498.322
21_46_51_467977_LED_set_pixels_8,0:00:04.004997,5.109,304.600,1561.578
21_46_57_475835_LED_show_message,0:00:05.020451,5.118,266.650,1378.023
21_47_02_461649_LED_show_letter,0:00:03.999406,5.117,268.933,1398.489
21_47_07_488946_LED_set_pixels_0,0:00:04.009165,5.120,260.291,1332.044
21_47_12_515560_LED_set_pixels_1,0:00:03.999096,5.120,260.646,1335.288
21_47_17_544078_LED_set_pixels_2,0:00:04.008988,5.119,262.044,1342.387
21_47_22_557026_LED_set_pixels_3,0:00:03.999553,5.118,266.575,1358.184
21_47_27_521922_LED_set_pixels_4,0:00:04.000995,5.117,271.038,1389.105
21_47_32_545905_LED_set_pixels_5,0:00:03.998825,5.116,277.373,1413.302
21_47_37_571754_LED_set_pixels_6,0:00:04.010566,5.114,285.200,1455.558
21_47_42_593145_LED_set_pixels_7,0:00:04.004869,5.111,294.099,1503.968
21_47_47_620634_LED_set_pixels_8,0:00:04.000277,5.109,304.486,1555.213
21_47_53_628199_LED_show_message,0:00:05.014918,5.118,268.604,1384.497
21_47_58_626806_LED_show_letter,0:00:03.999820,5.118,270.597,1398.292
21_48_03_642821_LED_set_pixels_0,0:00:04.010284,5.120,260.335,1333.261
21_48_08_665061_LED_set_pixels_1,0:00:03.999769,5.120,260.615,1333.004
21_48_13_691686_LED_set_pixels_2,0:00:03.998732,5.119,262.123,1344.164
21_48_18_714291_LED_set_pixels_3,0:00:04.005343,5.118,265.970,1355.206
21_48_23_675946_LED_set_pixels_4,0:00:04.000546,5.117,272.074,1383.857
21_48_28_699103_LED_set_pixels_5,0:00:03.999701,5.115,279.720,1427.803
21_48_33_726302_LED_set_pixels_6,0:00:03.997324,5.114,284.419,1457.697
21_48_38_749361_LED_set_pixels_7,0:00:03.998536,5.111,293.577,1504.651
21_48_43_769546_LED_set_pixels_8,0:00:04.002198,5.109,304.085,1558.617
21_48_56_375838_scheduling,0:00:11.006562,5.108,308.452,1575.359
